mpd_id,formula,elements,nsites,nelements,volume,density,density_atomic,deprecated,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,band_gap,efermi,is_gap_direct,is_metal,is_magnetic,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,universal_anisotropy,homogeneous_poisson,theoretical,cbm,vbm,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed
mp-11536,NpRh3,"Np,Rh",4,2,64.6425433687936,14.0183773767739,16.1606358421984,False,-39.42137035,-39.42137035,-0.563145994687495,0,True,-0.563145994687495,0,9.67517454,False,True,True,1.7221048,0.026640424560264,1.7221048,4,2,0.005,0.35,False,,,,,,,,,,,,,
mp-10109,NpS,"Np,S",2,2,43.6252897094095,10.2416040542273,21.8126448547048,False,-47.438643765,-47.438643765,-1.90951938578125,0,True,-0.106788774791667,0,11.28032333,False,True,True,4.1273944,0.094610131588645,4.1273944,1,1,,,False,,,,,,,,,,,,,
mp-8137,NpSO,"Np,S,O",6,3,97.2387460606593,9.73604847601795,16.2064576767765,False,-35.13897216,-9.996615615,-2.65223614875,0,True,-0.040295885666656,0,9.79522305,False,True,True,6.0000021,0.06170382016503,3.00000105,2,1,-3.1,0.27,False,,,,,,,,,,,,,
mp-20969,NpSb,"Np,Sb",2,2,61.8369428660063,9.63396584505004,30.9184714330032,False,-55.18561856,-8.85450495,-0.316114489374999,0,True,-0.0409045228125,0,8.54741319,False,True,True,3.9696823,0.064195966294806,3.9696823,1,1,,,False,,,,,,,,,,,,,
mp-1095677,NpSb2,"Np,Sb",12,2,326.470453880706,9.77634849093201,27.2058711567255,False,-7.30754067583333,-7.43554067583333,-0.366946622083334,0,True,-0.066405685833334,0,9.71848212,False,True,True,15.479128,0.047413564737641,3.869782,4,1,,,False,,,,,,,,,,,,,
mp-977366,NpSb3,"Np,Sb",4,2,107.442596906098,9.3083143727987,26.8606492265245,False,-40.4185666075,-6.62645001,-0.292754159687499,0,True,-0.017544193124998,0,10.01600284,False,True,True,3.8283066,0.03563118083739,3.8283066,1,1,,,True,,,,,,,,,,,,,
mp-1018824,NpSbTe,"Np,Sb,Te",6,3,175.056081567701,9.22698341238993,29.1760135946168,False,-45.8246290133333,-7.531388485,-0.791359546805559,0,True,-0.133176694722217,0,9.33156199,False,True,True,7.5105429,0.042903638838136,3.75527145,2,1,,,False,,,,,,,,,,,,,
mp-627,NpSe,"Np,Se",2,2,50.0254233301506,10.4879456995363,25.0127116650753,False,-50.290494285,-9.521623965,-1.29977838554687,0,True,-0.084317671666664,0,9.69927868,False,True,True,4.2950104,0.085856552810246,4.2950104,1,1,6.121,0.302,False,,,,,,,,,,,,,
mp-1095184,NpSe3,"Np,Se",8,2,224.493471151656,7.01041548196135,28.0616838939571,False,-32.78636361875,-7.08393648625,-1.22505795769531,0,True,-0.077917546542968,0,5.26682155,False,True,True,6,0.026726835169058,3,2,1,,,False,,,,,,,,,,,,,
mp-1018828,NpSeO,"Np,Se,O",6,3,105.524894738169,10.4474219773983,17.5874824563616,False,-37.1377754533333,-9.54069418833333,-2.41014346703125,0.089482771250011,False,,0,8.87231902,False,True,True,5.9997635,0.056856379860759,2.99988175,2,1,-3.754,0.091,False,,,,,,,,,,,,,
mp-1103836,NpSeO5,"Np,Se,O",14,3,212.702379029798,6.18236683757661,15.193027073557,False,-20.2485506192857,-8.25894939928572,-2.37559280158482,0,True,-0.101270923035714,0.1876,2.44855182,False,False,True,2,0.009402809734064,1,2,1,,,False,2.636,2.4484,,,,,,,,,,,
mp-21298,NpSi2,"Np,Si",6,2,111.536049542817,8.7294090240717,18.5893415904695,False,-34.0078648516667,-34.0078648516667,-0.483951277916669,0,True,-0.010238217777782,0,11.07868757,False,True,True,7.5145172,0.067372990443912,3.7572586,2,1,,,False,,,,,,,,,,,,,
mp-881,NpSn3,"Np,Sn",4,2,103.711177052666,9.49671544150255,25.9277942631665,False,-39.63593062,-39.63593062,-0.320239902187502,0,True,-0.320239902187502,0,10.1051266,False,True,True,3.7136534,0.035807648756258,3.7136534,1,1,0.136,0.359,False,,,,,,,,,,,,,
mp-977411,NpSnAu2,"Np,Sn,Au",4,3,89.3584484368816,13.9305430928211,22.3396121092204,False,-52.8098652,-52.8098652,-0.574786297187493,0,True,-0.172481711666662,0,8.27410998,False,True,True,3.9249644,0.043923819948288,3.9249644,1,1,,,True,,,,,,,,,,,,,
mp-20314,NpSnIr,"Np,Sn,Ir",9,3,193.59380629547,14.0994312765815,21.5104229217189,False,-54.1476437622222,-54.1476437622222,-0.771060841805554,0,True,-0.236322880763886,0,11.11025515,False,True,True,10.7334983,0.055443397210849,3.57783276666667,5,3,,,False,,,,,,,,,,,,,
mp-1018829,NpTe2,"Np,Te",6,2,182.433080160601,8.96018778898005,30.4055133601002,False,-45.8243952483333,-7.35209552166667,-0.94063169902778,0,True,-0.034998934999999,0,9.41410173,False,True,True,8.0516247,0.044134674988285,4.02581235,2,1,,,False,,,,,,,,,,,,,
mp-1078669,NpTe3,"Np,Te",8,2,237.767895231219,8.65720001834415,29.7209869039024,False,-6.1405654025,-6.4570654025,-0.862641062187499,0,True,-0.157167287916664,0,8.49935866,False,True,True,7.5115693,0.031592025040619,3.75578465,2,1,,,False,,,,,,,,,,,,,
mp-20721,NpTeAs,"Np,Te,As",6,3,153.962451687402,9.4807893667006,25.660408614567,False,-42.1267676583333,-7.71181599166667,-0.791413289305558,0,True,-0.041934991666666,0,8.79497631,False,True,True,7.0811541,0.04599273408803,3.54057705,2,1,,,False,,,,,,,,,,,,,
mp-1209723,NpTl2F6,"Np,Tl,F",18,3,310.46636687891,8.12716832543233,17.2481314932728,False,-26.2372173594444,-26.2372173594444,-3.11066309375,0,True,-0.050547127592643,0,4.09750309,False,True,True,6,0.019325764849563,3,2,1,,,True,4.0924,4.1261,,,,,,,,,,,
mp-12957,O2,O,8,1,107.643808234608,1.97448449399894,13.455476029326,False,-4.947961005,-4.947961005,0,0,True,0,1.0933,-0.59871392,False,False,False,0.0000086,7.98931228933897E-08,0.00000215,0,0,-17.181,0.251,False,0.4391,-0.6542,,,,,,,,,,,
mp-611836,O2,O,2,1,34.5756225942219,1.53678382547584,17.287811297111,False,-4.937990895,-4.937990895,0.009970109999999,0.009970109999999,False,,1.3143,-2.39705457,False,False,True,2.0000002,0.057844228098852,2.0000002,2,1,-1.998,0.318,False,-1.4228,-2.7371,,,,,,,,,,,
mp-49,Os,Os,2,1,28.254800538527,22.3596939719034,14.1274002692635,False,-52.98522885,-52.98522885,0,0,True,0,0,8.56779019,False,True,False,0.0000001,3.53922158691739E-09,0.00000005,0,0,0.023,0.246,False,,,,,,,,0.211196709379906,3.38374417317618,4.78373841870267,0.066698485909849,5.09378775071357,False
mp-757594,Os(OF2)2,"Os,(,O,F,)",42,3,608.575224484765,4.88232133415588,14.4898862972563,False,-5.4918293247619,-5.95211503904762,-1.84087233333333,0,True,-0.018174011547612,1.9012,-2.82230797,True,False,False,0,0,0,0,0,,,True,-0.955,-2.8562,,,,,,,,,,,
mp-28865,Os(SCl6)2,"Os,(,S,Cl,)",15,3,529.251422828971,2.1328762977803,35.2834281885981,False,-9.834899768,-9.834899768,-0.309395096375,0.020164871555559,False,,0.032699999999999,-0.32258301,False,False,True,1.9999752,0.003778875433739,1.9999752,1,1,,,False,-0.3062,-0.3389,,,,,,,,,,,
mp-557132,Os2O3F7,"Os,O,F",48,3,653.83423532665,5.70361516206428,13.6215465693052,False,-13.707783005625,-6.12491649395825,-1.90028445229158,0,True,-0.000685813916587,0.597999999999999,-0.94351964,False,False,True,11.9999997,0.018353275267094,2.999999925,4,2,,,False,-0.5058,-1.1038,,,,,,,,,,,
mp-1186374,Os3W,"Os,W",8,2,116.389619243835,21.5298675270485,14.5487024054794,False,-52.63134122875,-52.63134122875,-0.050470996250005,0,True,-0.014049955892865,0,7.89630259,False,True,False,0,0,0,0,0,,,True,,,,,,,,,,,,,
mp-28301,OsBr4,"Os,Br",40,2,1197.919214287,5.65393185685665,29.947980357175,False,-21.419899743,-4.0912665055,-0.536235791499999,0,True,-0.536235791499999,0,0.41805414,False,True,True,15.9966082,0.013353661924123,1.999576025,8,2,,,False,,,,,,,,,,,,,
mp-616196,OsC3I2O3,"Os,C,I,O",18,4,410.397622094658,4.27331717184033,22.7998678941477,False,-6.92118428111111,-7.23440650333333,-0.921937213333333,0,True,-0.037575537499999,1.7956,1.01194545,False,False,False,0.002278999999999,5.55315108398544E-06,0.001139499999999,0,0,,,False,2.6929,0.8973,,,,,,,,,,,
mp-29133,OsCl2O,"Os,Cl,O",4,3,76.7976460458039,5.99229510450551,19.199411511451,False,-18.5637843525,-6.1160532075,-1.14794969875,0,True,-0.097068551249998,0,2.38581003,False,True,True,0.1997582,0.002601097953977,0.1997582,1,1,75.246,0.244,False,,,,,,,,,,,,,
mp-571035,OsCl4,"Os,Cl",5,2,125.770072547871,4.3839420744719,25.1540145095743,False,-16.035481816,-16.035481816,-0.516484928000002,0,True,-0.516484928000004,0,0.88733545,False,True,True,2,0.015902034239812,2,1,1,32.651,0.253,False,,,5.09857312999585,0.904339849996055,4.19423327999979,2.04798273430217,,,,,,,
mp-556006,OsCl4O,"Os,Cl,O",24,3,617.870106855565,3.74147468914049,25.7445877856485,False,-14.4819019708333,-4.55506642291667,-0.62681648375,0.238871193124999,False,,1.0582,-0.94152607,False,False,False,0,0,0,0,0,,,False,0.1084,-0.9498,,,,,,,,,,,
mp-540830,OsF5,"Os,F",48,2,653.838217186077,5.79497848578797,13.6216295247099,False,-13.2702167970833,-13.2702167970833,-1.83432203041667,0,True,-0.10304084430556,0,-1.07917018,False,True,True,23.9999999,0.03670632775687,2.9999999875,8,2,,,False,,,,,,,,,,,,,
mp-22626,OsF6,"Os,F",28,2,386.757493469466,5.22466816513187,13.8127676239095,False,-12.0295172985714,-12.0295172985714,-1.78074636285714,0,True,-0.208470336785708,0,-1.89746964,False,True,True,8.0000001,0.020684796636349,2.000000025,4,4,0.569,0.284,False,,,,,,,,,,,,,
mp-996,OsO2,"Os,O",6,2,64.3569258510722,11.4679064993745,10.726154308512,False,-22.6566000733333,-8.38449735,-1.34340087,0,True,-0.069073447499999,0,5.03302378,False,True,False,0,0,0,0,0,3.208,0.336,False,,,,,,,,,,,,,
mp-28845,OsO3F2,"Os,O,F",24,3,321.47191227775,5.70727826327466,13.3946630115729,False,-14.1001237704167,-6.69484621291667,-1.71168701375,0,True,-0.000681108055554,2.3145,-2.35458735,False,False,False,0,0,0,0,0,,,False,-0.1755,-2.49,,,,,,,,,,,
mp-540783,OsO4,"Os,O",10,2,156.739017304851,5.38672334262354,15.6739017304851,False,-16.307788788,-7.732237057,-1.528394767,0.00079814,False,,3.2877,-2.89590578,False,False,False,0,0,0,0,0,4.604,0.25,False,0.2704,-3.0173,2.56945612550078,0.163384078425011,2.40607204707577,1.55115184526718,,,,,,,
mp-551905,OsO4,"Os,O",5,2,96.1742315112947,4.3894799570962,19.2348463022589,False,-7.181972482,-7.731572482,-1.527730192,0.001462714999997,False,,3.2472,-2.96643422,False,False,False,0.000156399999999,1.62621522982102E-06,0.000156399999999,0,0,,,False,0.055,-3.1922,2.64446985029705,0.166108025589828,2.47836182470722,1.5742813677063,0.068969118261741,,,,,,
mp-555514,OsOF5,"Os,O,F",28,3,383.123953993982,5.2222255878308,13.6829983569279,False,-12.3039527032143,-5.67826594964286,-2.00046733392857,0,True,-0.043346504404762,0.8055,-2.15172043,False,False,True,4,0.010440485274545,1,4,2,,,False,-1.4807,-2.2862,3.41574852333333,0.821245233333333,2.59450329,1.61074619043473,0.079929604027544,,,,,,
mp-680932,OsPbO3,"Os,Pb,O",20,3,276.169264911969,10.7130085992891,13.8084632455985,False,-26.5263769185,-7.357330362,-1.400550859,0,True,-0.0065214021875,0,6.0970238,False,True,False,0.000183399999999,6.64085484162983E-07,0.00004585,0,0,,,False,,,,,,,,,,,,,
